Phrasenum,Word,IPA,Minimal Pair,Gloss,Gloss_2,Carrier,Verified w/ Native?,Syllable,Segment,Type,Position,Position_2,Contrast_(IPA),Contrast,Experiment,Source,Notes
86,مَأْمور,maʔmuːr,مَحْمور,an official,,قُلْ مَأْمور واحد و خمسين مرة,X,CVCCVːC,ʔ,laryngeal,Medial,VCV,ʔ - ħ,laryngeal-pharyngeal,pharylary2,Zainab,
87,مَحْمور,maħmuːr,مَأْمور,reddish,?,قُلْ مَحْمور واحد و خمسين مرة,X,CVCCVːC,ħ,pharyngeal,Medial,VCV,redundant,laryngeal-pharyngeal,pharylary2,Zainab,
88,أَليم,ʔaliːm,عَليم,painful,,قُلْ أَليم واحد و خمسين مرة,X,CVCVːC,ʔ,laryngeal,Initial,CV,ʔ - ʕ,laryngeal-pharyngeal,pharylary2,Zainab,
89,عَليم,ʕaliːm,أَليم,knowledgeable,,قُلْ عَليم واحد و خمسين مرة,X,CVCVːC,ʕ,pharyngeal,Initial,CV,redundant,laryngeal-pharyngeal,pharylary2,Zainab,
90,مُفاجَئة,mʊfæːdʒaʔa,مُفاجَعة,surprise,,قُلْ مُفاجَئة واحد و خمسين مرة,X,CVCVːCVCV,ʔ,laryngeal,Medial,VCV,ʔ - ʕ,laryngeal-pharyngeal,pharylary2,Zainab,
91,مُفاجَعة,mʊfæːdʒaʕa,مُفاجَئة,calamitous,,قُلْ مُفاجَعة واحد و خمسين مرة,X,CVCVːCVCV,ʕ,pharyngeal,Medial,VCV,redundant,laryngeal-pharyngeal,pharylary2,Zainab,
92,تَأَثَّر,taʔaθːar,تَعَثَّر,he was affected,,قُلْ تَأَثَّر واحد و خمسين مرة,X,CVCVCːVC,ʔ,laryngeal,Medial,VCV,ʔ - ʕ,laryngeal-pharyngeal,pharylary2,Zainab,
93,تَعَثَّر,taʕaθːar,تَأَثَّر,he stumbled,,قُلْ تَعَثَّر واحد و خمسين مرة,X,CVCVCːVC,ʕ,pharyngeal,Medial,VCV,redundant,laryngeal-pharyngeal,pharylary2,Zainab,
94,تَأَلَّم,taʔalːam,تَعَلَّم,he was in pain,,قُلْ تَأَلَّم واحد و خمسين مرة,X,CVCVCːVC,ʔ,laryngeal,Medial,VCV,ʔ - ʕ,laryngeal-pharyngeal,pharylary2,Zainab,
95,تَعَلَّم,taʕalːam,تَأَلَّم,he learned,,قُلْ تَعَلَّم واحد و خمسين مرة,X,CVCVCːVC,ʕ,pharyngeal,Medial,VCV,redundant,laryngeal-pharyngeal,pharylary2,Zainab,
96,شاءَ,ʃæːʔa,شاعَ,he willed,,قُلْ شاءَ واحد و خمسين مرة,X,CVːCV,ʔ,laryngeal,Medial,VC,ʔ - ʕ,laryngeal-pharyngeal,pharylary2,Zainab,
97,شاعَ,ʃæːʕa,شاءَ,became widespread,,قُلْ شاعَ واحد و خمسين مرة,X,CVːCV,ʕ,pharyngeal,Medial,VC,redundant,laryngeal-pharyngeal,pharylary2,Zainab,
98,جاءَ,dʒæːʔa,جاعَ,he came,,قُلْ جاءَ واحد و خمسين مرة,X,CVːCV,ʔ,laryngeal,Medial,VC,ʔ - ʕ,laryngeal-pharyngeal,pharylary2,Zainab,
99,جاعَ,dʒæːʕa,جاءَ,he became hungry,,قُلْ جاعَ واحد و خمسين مرة,X,CVːCV,ʕ,pharyngeal,Medial,VC,redundant,laryngeal-pharyngeal,pharylary2,Zainab,
100,أضاءَ,ʔadˤɑːʔa,أضاعَ,he lit [something],,قُلْ أضاءَ واحد و خمسين مرة,X,CVCVCV,ʔ,laryngeal,Medial,VC,ʔ - ʕ,laryngeal-pharyngeal,pharylary2,Zainab,
101,أضاعَ,ʔadˤɑːʕa,أضاءَ,he lost [something],,قُلْ أضاعَ واحد و خمسين مرة,X,CVCVCV,ʕ,pharyngeal,Medial,VC,redundant,laryngeal-pharyngeal,pharylary2,Zainab,
102,سُؤال,sʊʔæːl,سُعال,question,,قُلْ سُؤال واحد و خمسين مرة,X,CVCVːC,ʔ,laryngeal,Medial,VCV,ʔ - ʕ,laryngeal-pharyngeal,pharylary2,Zainab,
103,سُعال,sʊʕæːl,سُؤال,heavy coughing,,قُلْ سُعال واحد و خمسين مرة,X,CVCVːC,ʕ,pharyngeal,Medial,VCV,redundant,laryngeal-pharyngeal,pharylary2,Zainab,
104,تَوَجّه,tawadʒːah,تَوَجّع,he headed toward,,قُلْ تَوَجّه واحد و خمسين مرة,X,CVCVCːVC,h,laryngeal,Final,VC,ʕ - h,laryngeal-pharyngeal,pharylary2,Zainab,
105,تَوَجّع,tawadʒːaʕ,تَوَجّه,he was in pain,,قُلْ تَوَجّع واحد و خمسين مرة,X,CVCVCːVC,ʕ,pharyngeal,Final,VC,redundant,laryngeal-pharyngeal,pharylary2,Zainab,
106,مُهَرِّج,mʊharːɪdʒ,مُعَرِّج,clownish,,قُلْ مُهَرِّج واحد و خمسين مرة,X,CVCVCːVC,h,laryngeal,Medial,VCV,ʕ - h,laryngeal-pharyngeal,pharylary2,Zainab,
107,مُعَرِّج,mʊʕarːɪdʒ,مُهَرِّج,swerving,,قُلْ مُعَرِّج واحد و خمسين مرة,X,CVCVCːVC,ʕ,pharyngeal,Medial,VCV,redundant,laryngeal-pharyngeal,pharylary2,Zainab,
108,سَهَّرَ,sahːara,سَعَّر,he made someone stay late,,قُلْ سَهَّرَ واحد و خمسين مرة,X,CVCːVC,h,laryngeal,Medial,VCV,ʕ - h,laryngeal-pharyngeal,pharylary2,Zainab,
109,سَعَّرَ,saʕːara,سَهَّر,he priced [something],,قُلْ سَعَّرَ واحد و خمسين مرة,X,CVCːVC,ʕ,pharyngeal,Medial,VCV,redundant,laryngeal-pharyngeal,pharylary2,Zainab,
110,هَبَدَ,habada,عَبَدَ,he flung down or forcefully threw,,قُلْ هَبَدَ واحد و خمسين مرة,X,CVCVCV,h,laryngeal,Initial,CV,ʕ - h,laryngeal-pharyngeal,pharylary2,Zainab,
111,عَبَدَ,ʕabada,هَبَدَ,he worshipped,,قُلْ عَبَدَ واحد و خمسين مرة,X,CVCVCV,ʕ,pharyngeal,Initial,CV,redundant,laryngeal-pharyngeal,pharylary2,Zainab,
112,هَديل,hadiːl,عَديل,cooing of doves,common female name,قُلْ هَديل واحد و خمسين مرة,X,CVCVːC,h,laryngeal,Initial,CV,ʕ - h,laryngeal-pharyngeal,pharylary2,Zainab,
113,عَديل,ʕadiːl,هَديل,in-law,,قُلْ عَديل واحد و خمسين مرة,X,CVCVːC,ʕ,pharyngeal,Initial,CV,redundant,laryngeal-pharyngeal,pharylary2,Zainab,
114,هُموم,hʊmuːm,عُموم,worries,,قُلْ هُموم واحد و خمسين مرة,X,CVCVːC,h,laryngeal,Initial,CV,ʕ - h,laryngeal-pharyngeal,pharylary2,Zainab,
115,عُموم,ʕʊmuːm,هُموم,"general, public, common",,قُلْ عُموم واحد و خمسين مرة,X,CVCVːC,ʕ,pharyngeal,Initial,CV,redundant,laryngeal-pharyngeal,pharylary2,Zainab,
116,وَلَه,walah,وَلَع,sadness,,قُلْ وَلَه واحد و خمسين مرة,X,CVCVC,h,laryngeal,Final,VC,ʕ - h,laryngeal-pharyngeal,pharylary2,Zainab,
117,وَلَع,walaʕ,وَلَه,infatuation,,قُلْ وَلَع واحد و خمسين مرة,X,CVCVC,ʕ,pharyngeal,Final,VC,redundant,laryngeal-pharyngeal,pharylary2,Zainab,
118,هَبّة,habːa,حَبّة,uprising,,قُلْ هَبّة واحد و خمسين مرة,X,CVCːV,h,laryngeal,Initial,CV,h - ħ,laryngeal-pharyngeal,pharylary2,Zainab,
119,حَبّة,ħabːa,هَبّة,seed,,قُلْ حَبّة واحد و خمسين مرة,X,CVCːV,ħ,pharyngeal,Initial,CV,redundant,laryngeal-pharyngeal,pharylary2,Zainab,
120,إِبْهار,ʔɪbhɑːr,إِبْحار,dazzlement,,قُلْ إِبْهار واحد و خمسين مرة,X,CVCCVːC,h,laryngeal,Medial,VCV,h - ħ,laryngeal-pharyngeal,pharylary2,Zainab,
121,إِبْحار,ʔɪbħɑːr,إِبْهار,sailing,navigation,قُلْ إِبْحار واحد و خمسين مرة,X,CVCCVːC,ħ,pharyngeal,Medial,VCV,redundant,laryngeal-pharyngeal,pharylary2,Zainab,
122,يُهْبِط,jʊhbɪtˤ,يُحْبِط,he brought down,to land a plane,قُلْ يُهْبِط واحد و خمسين مرة,X,CVCCVC,h,laryngeal,Medial,VCV,h - ħ,laryngeal-pharyngeal,pharylary2,Zainab,
123,يُحْبِط,jʊħbɪtˤ,يُهْبِط,to defeat,to thwart,قُلْ يُحْبِط واحد و خمسين مرة,X,CVCCVC,ħ,pharyngeal,Medial,VCV,redundant,laryngeal-pharyngeal,pharylary2,Zainab,
124,رَفَه,rafah,رَفَح,luxury,facilitated easily (find word in English),قُلْ رَفَه واحد و خمسين مرة,X,CVCVC,h,laryngeal,Final,VC,h - ħ,laryngeal-pharyngeal,pharylary2,Zainab,
125,رَفَح,rafaħ,رَفَه,Rafah (city in Gaza),,قُلْ رَفَح واحد و خمسين مرة,X,CVCVC,ħ,pharyngeal,Final,VC,redundant,laryngeal-pharyngeal,pharylary2,Zainab,
126,دَرْب,daɾb,ضَرْب,path,,قُلْ دَرْب واحد و خمسين مرة,X,CVCC,d,plain,Initial,CV,d - dˤ,plain-pharyngealized,pharylary2,Personal Knowledge,/r/
127,ضَرْب,dˤaɾb,دَرْب,hitting,,قُلْ ضَرْب واحد و خمسين مرة,X,CVCC,dˤ,pharyngealized,Initial,CV,redundant,plain-pharyngealized,pharylary2,Personal Knowledge,/r/
128,تَيّار,tajːar,طَيّار,current (of river),,قُلْ تَيّار واحد و خمسين مرة,X,CVCːVC,t,plain,Initial,CV,t - tˤ,plain-pharyngealized,pharylary2,Khattab et al. 2006,/r/
129,طَيّار,tˤajːar,تَيّار,pilot,,قُلْ طَيّار واحد و خمسين مرة,X,CVCːVC,tˤ,pharyngealized,Initial,CV,redundant,plain-pharyngealized,pharylary2,Khattab et al. 2006,/r/
130,تَمْر,tamr,طَمْر,date (fruit),,قُلْ تَمْر واحد و خمسين مرة,X,CVCC,t,plain,Initial,CV,t - tˤ,plain-pharyngealized,pharylary2,Khattab et al. 2006,/r/
131,طَمْر,tˤamr,تَمْر,bury,,قُلْ طَمْر واحد و خمسين مرة,X,CVCC,tˤ,pharyngealized,Initial,CV,redundant,plain-pharyngealized,pharylary2,Khattab et al. 2006,/r/
132,ضار,dˤɑːr,دار,harmful,,قُلْ ضار واحد و خمسين مرة,X,CVːC,dˤ,pharyngealized,Initial,CV,d - dˤ,plain-pharyngealized,pharylary2,Tubuly: Routledge Handbook of Arabic Second Language Acquisition,/r/
133,دار,dɑːr,ضار,"house, world",,قُلْ دار واحد و خمسين مرة,X,CVːC,d,plain,Initial,CV,redundant,plain-pharyngealized,pharylary2,Tubuly: Routledge Handbook of Arabic Second Language Acquisition,/r/
134,سارَ,sɑːra,صارَ,he walked,,قُلْ سارَ واحد و خمسين مرة,X,CVːCV,s,plain,Initial,CV,s - sˤ,plain-pharyngealized,pharylary2,Tubuly: Routledge Handbook of Arabic Second Language Acquisition,/r/
135,صارَ,sˤɑːra,سارَ,he became,,قُلْ صارَ واحد و خمسين مرة,X,CVːCV,sˤ,pharyngealized,Initial,CV,redundant,plain-pharyngealized,pharylary2,Tubuly: Routledge Handbook of Arabic Second Language Acquisition,/r/
136,أسَد,ʔasad,X,lion,,قُلْ أَسَد واحد و خمسين مرة,X,CVCVC,s,,Medial,VCV,,cluster,pharylary2,Zainab,
137,قَصَّدَ,qasˤːada,X,to intend,,قُلْ قَصَّدَ واحد و خمسين مرة,X,CVCːVC,sˤ,,Medial,VCV,,cluster,pharylary2,Zainab,
138,أَسْعَد,ʔasʕad,X,to make happy,,قُلْ أَسْعَد واحد و خمسين مرة,X,CVCCVC,sʕ,,Medial,VCV,,cluster,pharylary2,Zainab,
139,أتْحَف,ʔatħaf,X,"to make priceless, valued",,قُلْ أتْحَف واحد و خمسين مرة,X,CVCCVC,tħ,,Medial,VCV,,cluster,pharylary2,Zainab,
140,أرْعَن,ʔarʕan,X,flagrantly stupid,,قُلْ أرْعَن واحد و خمسين مرة,X,CVCCVC,rʕ,,Medial,VCV,,cluster,pharylary2,Zainab,
141,أدْحَر,ʔadħaɾ,X,I defeat,,قُلْ أدْحَر واحد و خمسين مرة,X,CVCCVC,dħ,,Medial,VCV,,cluster,pharylary2,Zainab,
142,حِلْم,ħɪlm,عِلم,"calm, composure",,قُلْ حِلْم واحد و خمسين مرة,X,CVCC,ħ,pharyngeal,Initial,CV,,pharyngeal-pharyngeal,pharylary2,Wiktionary,
143,عِلْم,ʕɪlm,حِلم,science,,قُلْ عِلْم واحد و خمسين مرة,X,CVCC,ʕ,pharyngeal,Initial,CV,,pharyngeal-pharyngeal,pharylary2,Wiktionary,
144,وَصَلَ,wasˤala,حَصَلَ,"link, join, attach, arrive",,قُلْ وَصَلَ واحد و خمسين مرة,X,CVCVCV,w,sonorant,Initial,CV,w - ħ,sonorant-pharyngeal,pharylary2,Wiktionary,
145,حَصَلَ,ħasˤala,وَصَلَ,obtain,,قُلْ حَصَلَ واحد و خمسين مرة,X,CVCVCV,ħ,pharyngeal,Initial,CV,redundant,sonorant-pharyngeal,pharylary2,Wiktionary,
146,دَعَرَ,daʕaɾa,دَوَّرَ,"become immoral, licentious",,قُلْ دَعَرَ واحد و خمسين مرة,X,CVCVCV,ʕ,pharyngeal,Medial,VCV,w - ʕ,sonorant-pharyngeal,pharylary2,Wiktionary,/r/
147,دَوَّرَ,dawːaɾa,دَعَرَ,to make round,to search,قُلْ دَوَّرَ واحد و خمسين مرة,X,CVCːVCV,w,sonorant,Medial,VCV,redundant,sonorant-pharyngeal,pharylary2,Wiktionary,/r/
148,نَوَّرَ,nawːaɾa,نَحَرَ,illuminate,,قُلْ نَوَّرَ واحد و خمسين مرة,X,CVCːVCV,w,sonorant,Medial,VCV,w - ħ,sonorant-pharyngeal,pharylary2,Wiktionary,/r/
149,نَحَرَ,naħaɾa,نَوَّرَ,slaughter,slit throat,قُلْ نَحَرَ واحد و خمسين مرة,X,CVCVCV,ħ,pharyngeal,Medial,VCV,redundant,sonorant-pharyngeal,pharylary2,Wiktionary,/r/
150,هَجَّرَ,had͡ʒːaɾa,أَجَّرَ,displace,,قُلْ هَجَّرَ واحد و خمسين مرة,X,CVCːVCV,h,laryngeal,Initial,CV,ʔ - h,laryngeal-laryngeal,pharylary2,Wiktionary,/r/
151,أَجَّرَ,ʔad͡ʒːaɾa,هَجَّرَ,"rent, lease",,قُلْ أَجَّرَ واحد و خمسين مرة,X,CVCːVCV,ʔ,laryngeal,Initial,CV,redundant,laryngeal-laryngeal,pharylary2,Wiktionary,/r/
152,أكْتُب,ʔaktub,يَكْتُب,write,,قُلْ أكْتُب واحد و خمسين مرة,X,CVCVC,ʔ,laryngeal,Initial,CV,j - ʔ,sonorant-laryngeal,pharylary2,Wiktionary,
153,يَكْتُب,jaktub,أكْتُب,write,,قُلْ يَكْتُب واحد و خمسين مرة,X,CVCVC,j,sonorant,Initial,CV,redundant,sonorant-laryngeal,pharylary2,Wiktionary,
154,أدْرُس,ʔadrus,يَدْرُس,study,,قُلْ أَدْرُس واحد و خمسين مرة,X,CVCVC,ʔ,laryngeal,Initial,CV,j - ʔ,sonorant-laryngeal,pharylary2,Wiktionary,/r/
155,يَدْرُس,jadrus,أدْرُس,study,,قُلْ يَدْرُس واحد و خمسين مرة,X,CVCVC,j,sonorant,Initial,CV,redundant,sonorant-laryngeal,pharylary2,Wiktionary,/r/
156,هَدَّ,hadːa,يَد,to break down,,قُلْ هَدَّ واحد و خمسين مرة,X,CVCː,h,laryngeal,Initial,CV,j - h,sonorant-laryngeal,pharylary2,Wiktionary,
157,يَد,jad,هَدَّ,hand,,قُلْ يَد واحد و خمسين مرة,X,CVC,j,sonorant,Initial,CV,redundant,sonorant-laryngeal,pharylary2,Wiktionary,
158,أتى,ʔata,X,to come,,قُلْ أتى واحد و خمسين مرة,X,CVCV,t,,Medial,VCV,,cluster,pharylary2,Ali,
159,أطَأَ,ʔatˤɑʔa,X,I step on,,قُلْ أطَأَ واحد و خمسين مرة,X,CVCV,tˤ,,Medial,VCV,,cluster,pharylary2,Ali,
160,أدّى,ʔadːa,X,to perform,,قُلْ أدى واحد و خمسين مرة,X,CVCV,d,,Medial,VCV,,cluster,pharylary2,Ali,
161,أضاءَ,ʔadˤɑʔa,X,to light,,قُلْ أضاءَ واحد و خمسين مرة,X,CVCV,dˤ,,Medial,VCV,,cluster,pharylary2,Ali,
162,أرى,ʔaɾa,X,to see,,قُلْ أرى واحد و خمسين مرة,X,CVCV,r,,Medial,VCV,,cluster,pharylary2,Ali,
163,عابَ,ʕæːba,ذابَ,to blame,,قُلْ عابَ واحد و خمسين مرة,X,CVCV,ʕ,pharyngeal-fricative,Initial,CV,,manner,pharylary2,Wiktionary,
164,غابَ,ʁæːba,عابَ,to be absent,"to vanish, to disappear",قُلْ غابَ واحد و خمسين مرة,X,CVCV,ʁ,pharyngea-fricative,Initial,CV,,manner,pharylary2,Wiktionary,
165,ذابَ,ðæːba,غابَ,to melt,,قُلْ ذابَ واحد و خمسين مرة,X,CVCV,ð,pharyngeal-fricative,Initial,CV,,manner,pharylary2,Wiktionary,
166,عَسَّلَ,ʕasːala,غَسَّلَ,to produce honey,,قُلْ عَسَّلَ واحد و خمسين مرة,X,CVCVCV,ʕ,pharyngeal-fricative,Initial,CV,,manner,pharylary2,Wiktionary,
167,غَسَّلَ,ʁasːala,عَسَّلَ,to wash up well,,قُلْ غَسَّلَ واحد و خمسين مرة,X,CVCVCV,ʁ,pharyngeal-fricative,Initial,CV,,manner,pharylary2,Wiktionary,
168,عَلَّ,ʕalːa,ظَلَّ,in order to,,قُلْ عَلَّ واحد و خمسين مرة,X,CVCːV,ʕ,pharyngeal-fricative,Initial,CV,,manner,pharylary2,Wiktionary,
169,غَلَّ,ʁalːa,عَلَّ,"to inflitrate, to seep in",,قُلْ غَلَّ واحد و خمسين مرة,X,CVCːV,ʁ,pharyngeal-fricative,Initial,CV,,manner,pharylary2,Wiktionary,
170,ظَلَّ,ðˤalːa,غَلَّ,to remain in place,,قُلْ ظَلَّ واحد و خمسين مرة,X,CVCːV,ðˤ,pharyngeal-fricative,Initial,CV,,manner,pharylary2,Wiktionary,
171,ظَلِمَ,ðˤalɪma,عَلِمَ,to become dark,,قُلْ ظَلِمَ واحد و خمسين مرة,X,CVCVCV,ðˤ,pharyngeal-fricative,Initial,CV,,manner,pharylary2,Wiktionary,
172,عَلِمَ,ʕalɪma,ظَلِمَ,to know,,قُلْ عَلِمَ واحد و خمسين مرة,X,CVCVCV,ʕ,pharyngeal-fricative,Initial,CV,,manner,pharylary2,Wiktionary,